,how out,fielder,bowler,runs,Inns,opposition,Ground,Start Date,Test_no,batsman,bowler_type,match_type
205,caught,JC Buttler,BA Stokes,55,2,v England,Kolkata,22 Jan 2017,ODI # 3824,Virat Kohli,right_arm_pace,ODI
206,caught,N Dickwella,N Pradeep,0,1,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882,Virat Kohli,right_arm_pace,ODI
207,caught,AR Nurse,AS Joseph,87,1,v West Indies,Port of Spain,25 Jun 2017,ODI # 3896,Virat Kohli,right_arm_pace,ODI
208,caught,KA Hope,JO Holder,11,1,v West Indies,North Sound,30 Jun 2017,ODI # 3898,Virat Kohli,right_arm_pace,ODI
209,caught,SD Hope,JO Holder,3,2,v West Indies,North Sound,2 Jul 2017,ODI # 3900,Virat Kohli,right_arm_pace,ODI
210,caught,EMDY Munaweera,SL Malinga,131,1,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908,Virat Kohli,right_arm_pace,ODI
211,caught,GJ Maxwell,NM Coulter-Nile,0,1,v Australia,Chennai,17 Sep 2017,ODI # 3910,Virat Kohli,right_arm_pace,ODI
212,bowled,,NM Coulter-Nile,92,1,v Australia,Kolkata,21 Sep 2017,ODI # 3912,Virat Kohli,right_arm_pace,ODI
213,bowled,,NM Coulter-Nile,21,2,v Australia,Bengaluru,28 Sep 2017,ODI # 3917,Virat Kohli,right_arm_pace,ODI
214,caught,TA Boult,TG Southee,121,1,v New Zealand,Mumbai,22 Oct 2017,ODI # 3928,Virat Kohli,right_arm_pace,ODI
215,caught,TWM Latham,C de Grandhomme,29,2,v New Zealand,Pune,25 Oct 2017,ODI # 3931,Virat Kohli,right_arm_pace,ODI
216,caught,KS Williamson,TG Southee,113,1,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932,Virat Kohli,right_arm_pace,ODI
217,caught,K Rabada,AL Phehlukwayo,112,2,v South Africa,Durban,1 Feb 2018,ODI # 3969,Virat Kohli,right_arm_pace,ODI
218,caught,DA Miller,CH Morris,75,1,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973,Virat Kohli,right_arm_pace,ODI
219,caught,SD Hope,KAJ Roach,16,1,v West Indies,Mumbai (BS),29 Oct 2018,ODI # 4063,Virat Kohli,right_arm_pace,ODI
220,caught,MP Stoinis,JA Richardson,3,2,v Australia,Sydney,12 Jan 2019,ODI # 4077,Virat Kohli,right_arm_pace,ODI
221,caught,GJ Maxwell,JA Richardson,104,2,v Australia,Adelaide,15 Jan 2019,ODI # 4078,Virat Kohli,right_arm_pace,ODI
222,caught,AT Carey,JA Richardson,46,2,v Australia,Melbourne,18 Jan 2019,ODI # 4079,Virat Kohli,right_arm_pace,ODI
223,caught,TWM Latham,LH Ferguson,45,2,v New Zealand,Napier,23 Jan 2019,ODI # 4082,Virat Kohli,right_arm_pace,ODI
224,caught,MP Stoinis,PJ Cummins,116,1,v Australia,Nagpur,5 Mar 2019,ODI # 4106,Virat Kohli,right_arm_pace,ODI
225,caught,AT Carey,JA Richardson,7,1,v Australia,Mohali,10 Mar 2019,ODI # 4111,Virat Kohli,right_arm_pace,ODI
226,caught,AT Carey,MP Stoinis,20,2,v Australia,Delhi,13 Mar 2019,ODI # 4113,Virat Kohli,right_arm_pace,ODI
227,caught,Q de Kock,AL Phehlukwayo,18,2,v South Africa,Southampton,5 Jun 2019,ODI # 4150,Virat Kohli,right_arm_pace,ODI
228,caught,PJ Cummins,MP Stoinis,82,1,v Australia,The Oval,9 Jun 2019,ODI # 4155,Virat Kohli,right_arm_pace,ODI
229,caught,DM Bravo (sub),JO Holder,72,1,v West Indies,Manchester,27 Jun 2019,ODI # 4175,Virat Kohli,right_arm_pace,ODI
230,caught,JM Vince (sub),LE Plunkett,66,2,v England,Birmingham,30 Jun 2019,ODI # 4179,Virat Kohli,right_arm_pace,ODI
231,caught,KAJ Roach,CR Brathwaite,120,1,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197,Virat Kohli,right_arm_pace,ODI
232,caught,RL Chase,KA Pollard,0,1,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222,Virat Kohli,right_arm_pace,ODI
233,bowled,,KMA Paul,85,2,v West Indies,Cuttack,22 Dec 2019,ODI # 4223,Virat Kohli,right_arm_pace,ODI
234,bowled,,JR Hazlewood,89,2,v Australia,Bengaluru,19 Jan 2020,ODI # 4233,Virat Kohli,right_arm_pace,ODI
235,bowled,,TG Southee,15,2,v New Zealand,Auckland,8 Feb 2020,ODI # 4239,Virat Kohli,right_arm_pace,ODI
236,caught,KA Jamieson,HK Bennett,9,1,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243,Virat Kohli,right_arm_pace,ODI
237,caught,Umar Gul,Shahid Afridi,16,2,v Pakistan,Centurion,26 Sep 2009,ODI # 2898,Virat Kohli,right_arm_spin,ODI
238,lbw,,S Randiv,54,1,v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933,Virat Kohli,right_arm_spin,ODI
239,caught,M Pushpakumara (sub),S Randiv,107,2,v Sri Lanka,Kolkata,24 Dec 2009,ODI # 2935,Virat Kohli,right_arm_spin,ODI
240,caught,CRD Fernando,S Randiv,82,2,v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983,Virat Kohli,right_arm_spin,ODI
241,caught,T Taibu,P Utseya,18,1,v Zimbabwe,Harare,3 Jun 2010,ODI # 2986,Virat Kohli,right_arm_spin,ODI
242,bowled,,Saeed Ajmal,18,2,v Pakistan,Dambulla,19 Jun 2010,ODI # 2996,Virat Kohli,right_arm_spin,ODI
243,caught,MJ Clarke,DJ Hussey,24,2,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143,Virat Kohli,right_arm_spin,ODI
244,caught,TM Dilshan,TM Dilshan,35,2,v Sri Lanka,Mumbai,2 Apr 2011,ODI # 3148,Virat Kohli,right_arm_spin,ODI
245,caught,KA Pollard,D Bishoo,81,2,v West Indies,Port of Spain,8 Jun 2011,ODI # 3160,Virat Kohli,right_arm_spin,ODI
246,stumped,CS Baugh,A Martin,22,2,v West Indies,North Sound,13 Jun 2011,ODI # 3162,Virat Kohli,right_arm_spin,ODI
247,caught,IR Bell,GP Swann,9,1,v England,Southampton,6 Sep 2011,ODI # 3187,Virat Kohli,right_arm_spin,ODI
248,caught,C Kieswetter,GP Swann,16,1,v England,Lord's,11 Sep 2011,ODI # 3191,Virat Kohli,right_arm_spin,ODI
249,hit wicket,,GP Swann,107,1,v England,Cardiff,16 Sep 2011,ODI # 3195,Virat Kohli,right_arm_spin,ODI
250,lbw,,GP Swann,35,2,v England,Mohali,20 Oct 2011,ODI # 3205,Virat Kohli,right_arm_spin,ODI
251,lbw,,SP Narine,20,2,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221,Virat Kohli,right_arm_spin,ODI
252,caught,MN Samuels,A Martin,80,1,v West Indies,Chennai,11 Dec 2011,ODI # 3224,Virat Kohli,right_arm_spin,ODI
253,caught,JC Tredwell,JC Tredwell,26,2,v England,Mohali,23 Jan 2013,ODI # 3327,Virat Kohli,right_arm_spin,ODI
254,bowled,,SP Narine,22,2,v West Indies,The Oval,11 Jun 2013,ODI # 3368,Virat Kohli,right_arm_spin,ODI
255,caught,V Sibanda,P Utseya,115,2,v Zimbabwe,Harare,24 Jul 2013,ODI # 3395,Virat Kohli,right_arm_spin,ODI
256,caught,BJ Haddin,GJ Maxwell,68,1,v Australia,Mohali,19 Oct 2013,ODI # 3421,Virat Kohli,right_arm_spin,ODI
257,caught,PF Younghusband (sub),NL McCullum,82,2,v New Zealand,Wellington,31 Jan 2014,ODI # 3467,Virat Kohli,right_arm_spin,ODI
258,bowled,,BAW Mendis,48,1,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476,Virat Kohli,right_arm_spin,ODI
259,caught,NLTC Perera,S Randiv,22,1,v Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539,Virat Kohli,right_arm_spin,ODI
260,caught,S Randiv,S Prasanna,49,2,v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540,Virat Kohli,right_arm_spin,ODI
261,caught,PLS Gamage,TM Dilshan,53,2,v Sri Lanka,Hyderabad (Deccan),9 Nov 2014,ODI # 3543,Virat Kohli,right_arm_spin,ODI
262,caught,JE Root,MM Ali,8,1,v England,Perth,30 Jan 2015,ODI # 3595,Virat Kohli,right_arm_spin,ODI
263,caught,F du Plessis,Imran Tahir,46,1,v South Africa,Melbourne,22 Feb 2015,ODI # 3610,Virat Kohli,right_arm_spin,ODI
264,bowled,,Sikandar Raza,38,2,v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636,Virat Kohli,right_arm_spin,ODI
265,lbw,,Nasir Hossain,23,1,v Bangladesh,Dhaka,21 Jun 2015,ODI # 3660,Virat Kohli,right_arm_spin,ODI
266,caught,BJ Watling,IS Sodhi,45,2,v New Zealand,Ranchi,26 Oct 2016,ODI # 3799,Virat Kohli,right_arm_spin,ODI
267,caught,MJ Guptill,IS Sodhi,65,1,v New Zealand,Visakhapatnam,29 Oct 2016,ODI # 3800,Virat Kohli,right_arm_spin,ODI
268,bowled,,A Dananjaya,4,2,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906,Virat Kohli,right_arm_spin,ODI
269,caught,MP Stoinis,A Zampa,39,2,v Australia,Nagpur,1 Oct 2017,ODI # 3919,Virat Kohli,right_arm_spin,ODI
270,stumped,JC Buttler,AU Rashid,75,2,v England,Nottingham,12 Jul 2018,ODI # 4014,Virat Kohli,right_arm_spin,ODI
271,lbw,,MM Ali,45,2,v England,Lord's,14 Jul 2018,ODI # 4016,Virat Kohli,right_arm_spin,ODI
272,bowled,,AU Rashid,71,1,v England,Leeds,17 Jul 2018,ODI # 4018,Virat Kohli,right_arm_spin,ODI
273,stumped,SD Hope,D Bishoo,140,2,v West Indies,Guwahati,21 Oct 2018,ODI # 4056,Virat Kohli,right_arm_spin,ODI
274,bowled,,MN Samuels,107,2,v West Indies,Pune,27 Oct 2018,ODI # 4062,Virat Kohli,right_arm_spin,ODI
275,lbw,,A Zampa,44,2,v Australia,Hyderabad (Deccan),2 Mar 2019,ODI # 4102,Virat Kohli,right_arm_spin,ODI
276,bowled,,A Zampa,123,2,v Australia,Ranchi,8 Mar 2019,ODI # 4109,Virat Kohli,right_arm_spin,ODI
277,caught,Rahmat Shah,Mohammad Nabi,67,1,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169,Virat Kohli,right_arm_spin,ODI
278,caught,A Zampa,A Zampa,16,1,v Australia,Mumbai,14 Jan 2020,ODI # 4231,Virat Kohli,right_arm_spin,ODI
279,caught,MA Starc,A Zampa,78,1,v Australia,Rajkot,17 Jan 2020,ODI # 4232,Virat Kohli,right_arm_spin,ODI
280,bowled,,IS Sodhi,51,1,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235,Virat Kohli,right_arm_spin,ODI
281,caught,CK Kapugedera,T Thushara,37,2,v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745,Virat Kohli,left_arm_pace,ODI
282,bowled,,T Thushara,54,1,v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755,Virat Kohli,left_arm_pace,ODI
283,caught,GA Manou,DE Bollinger,10,2,v Australia,Mohali,2 Nov 2009,ODI # 2919,Virat Kohli,left_arm_pace,ODI
284,bowled,,UWMBCA Welegedara,27,1,v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932,Virat Kohli,left_arm_pace,ODI
285,caught,KC Sangakkara,UWMBCA Welegedara,9,1,v Sri Lanka,Dhaka,5 Jan 2010,ODI # 2938,Virat Kohli,left_arm_pace,ODI
286,caught,KC Sangakkara,UWMBCA Welegedara,2,1,v Sri Lanka,Dhaka,13 Jan 2010,ODI # 2943,Virat Kohli,left_arm_pace,ODI
287,caught,BMAJ Mendis,T Thushara,68,1,v Sri Lanka,Harare,5 Jun 2010,ODI # 2988,Virat Kohli,left_arm_pace,ODI
288,caught,JM How,AJ McKay,105,1,v New Zealand,Guwahati,28 Nov 2010,ODI # 3070,Virat Kohli,left_arm_pace,ODI
289,caught,LRPL Taylor,AJ McKay,64,2,v New Zealand,Jaipur,1 Dec 2010,ODI # 3072,Virat Kohli,left_arm_pace,ODI
290,caught,KD Mills,AJ McKay,0,2,v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076,Virat Kohli,left_arm_pace,ODI
291,caught,Umar Akmal,Wahab Riaz,9,1,v Pakistan,Mohali,30 Mar 2011,ODI # 3147,Virat Kohli,left_arm_pace,ODI
292,bowled,,Junaid Khan,0,1,v Pakistan,Chennai,30 Dec 2012,ODI # 3314,Virat Kohli,left_arm_pace,ODI
293,caught,Kamran Akmal,Junaid Khan,6,2,v Pakistan,Kolkata,3 Jan 2013,ODI # 3315,Virat Kohli,left_arm_pace,ODI
294,caught,Younis Khan,Junaid Khan,7,1,v Pakistan,Delhi,6 Jan 2013,ODI # 3316,Virat Kohli,left_arm_pace,ODI
295,caught,HM Amla,LL Tsotsobe,31,1,v South Africa,Cardiff,6 Jun 2013,ODI # 3363,Virat Kohli,left_arm_pace,ODI
296,caught,Q de Kock,LL Tsotsobe,0,2,v South Africa,Durban,8 Dec 2013,ODI # 3443,Virat Kohli,left_arm_pace,ODI
297,caught,JD Ryder,MJ McClenaghan,123,2,v New Zealand,Napier,19 Jan 2014,ODI # 3456,Virat Kohli,left_arm_pace,ODI
298,caught,GJ Bailey,JP Faulkner,9,1,v Australia,Melbourne,18 Jan 2015,ODI # 3582,Virat Kohli,left_arm_pace,ODI
299,caught,BJ Haddin,MG Johnson,1,2,v Australia,Sydney,26 Mar 2015,ODI # 3645,Virat Kohli,left_arm_pace,ODI
300,caught,AJ Finch,JP Faulkner,91,1,v Australia,Perth,12 Jan 2016,ODI # 3723,Virat Kohli,left_arm_pace,ODI
301,caught,Shadab Khan,Mohammad Amir,5,2,v Pakistan,The Oval,18 Jun 2017,ODI # 3894,Virat Kohli,left_arm_pace,ODI
302,caught,PVD Chameera,MVT Fernando,3,2,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907,Virat Kohli,left_arm_pace,ODI
303,caught,IS Sodhi,TA Boult,43,1,v New Zealand,Mount Maunganui,26 Jan 2019,ODI # 4085,Virat Kohli,left_arm_pace,ODI
304,caught,HM Nicholls,TA Boult,60,2,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088,Virat Kohli,left_arm_pace,ODI
305,caught,Sarfaraz Ahmed,Mohammad Amir,77,1,v Pakistan,Manchester,16 Jun 2019,ODI # 4161,Virat Kohli,left_arm_pace,ODI
306,caught,Rubel Hossain,Mustafizur Rahman,26,1,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182,Virat Kohli,left_arm_pace,ODI
307,lbw,,TA Boult,1,2,v New Zealand,Manchester,9 Jul 2019,ODI # 4190,Virat Kohli,left_arm_pace,ODI
308,bowled,,SS Cottrell,4,1,v West Indies,Chennai,15 Dec 2019,ODI # 4221,Virat Kohli,left_arm_pace,ODI
309,caught,SR Watson,AC Voges,30,2,v Australia,Vadodara,25 Oct 2009,ODI # 2913,Virat Kohli,left_arm_spin,ODI
310,caught,Shakib Al Hasan,Shakib Al Hasan,91,2,v Bangladesh,Dhaka,7 Jan 2010,ODI # 2939,Virat Kohli,left_arm_spin,ODI
311,stumped,Mushfiqur Rahim,Shakib Al Hasan,11,2,v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993,Virat Kohli,left_arm_spin,ODI
312,caught,LRPL Taylor,DL Vettori,2,2,v New Zealand,Chennai,10 Dec 2010,ODI # 3077,Virat Kohli,left_arm_spin,ODI
313,caught,RJ Peterson,RJ Peterson,1,1,v South Africa,Nagpur,12 Mar 2011,ODI # 3128,Virat Kohli,left_arm_spin,ODI
314,bowled,,SR Patel,55,1,v England,Chester-le-Street,3 Sep 2011,ODI # 3186,Virat Kohli,left_arm_spin,ODI
315,caught,KP Pietersen,SR Patel,37,1,v England,Hyderabad (Deccan),14 Oct 2011,ODI # 3199,Virat Kohli,left_arm_spin,ODI
316,bowled,,Abdur Razzak,66,1,v Bangladesh,Dhaka,16 Mar 2012,ODI # 3261,Virat Kohli,left_arm_spin,ODI
317,caught,HMRKB Herath,HMRKB Herath,38,2,v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293,Virat Kohli,left_arm_spin,ODI
318,lbw,,HMRKB Herath,31,1,v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387,Virat Kohli,left_arm_spin,ODI
319,bowled,,Shakib Al Hasan,25,1,v Bangladesh,Dhaka,24 Jun 2015,ODI # 3661,Virat Kohli,left_arm_spin,ODI
320,caught,L Ronchi,MJ Santner,9,2,v New Zealand,Delhi,20 Oct 2016,ODI # 3797,Virat Kohli,left_arm_spin,ODI
321,caught,AJ Finch,AC Agar,28,2,v Australia,Indore,24 Sep 2017,ODI # 3914,Virat Kohli,left_arm_spin,ODI
322,caught,DP Hyatt,DJG Sammy,14,1,v West Indies,Port of Spain,4 Jun 2011,T20I # 200,Virat Kohli,right_arm_pace,T20
323,caught,C Kieswetter,SCJ Broad,4,1,v England,Manchester,31 Aug 2011,T20I # 204,Virat Kohli,right_arm_pace,T20
324,caught,AD Hales,TT Bresnan,15,1,v England,Kolkata,29 Oct 2011,T20I # 214,Virat Kohli,right_arm_pace,T20
325,caught,MS Wade,MR Marsh,31,2,v Australia,Melbourne,3 Feb 2012,T20I # 218,Virat Kohli,right_arm_pace,T20
326,caught,HDRL Thirimanne,RMS Eranga,68,1,v Sri Lanka,Pallekele,7 Aug 2012,T20I # 255,Virat Kohli,right_arm_pace,T20
327,caught,Mohammad Nabi,Dawlat Zadran,50,1,v Afghanistan,Colombo (RPS),19 Sep 2012,T20I # 265,Virat Kohli,right_arm_pace,T20
328,caught,DT Christian,PJ Cummins,15,1,v Australia,Colombo (RPS),28 Sep 2012,T20I # 278,Virat Kohli,right_arm_pace,T20
329,caught,AB de Villiers,JH Kallis,2,1,v South Africa,Colombo (RPS),2 Oct 2012,T20I # 286,Virat Kohli,right_arm_pace,T20
330,bowled,,SC Meaker,21,2,v England,Pune,20 Dec 2012,T20I # 292,Virat Kohli,right_arm_pace,T20
331,lbw,,SC Meaker,38,1,v England,Mumbai,22 Dec 2012,T20I # 294,Virat Kohli,right_arm_pace,T20
332,caught,JP Faulkner,CJ McKay,29,2,v Australia,Rajkot,10 Oct 2013,T20I # 331,Virat Kohli,right_arm_pace,T20
333,bowled,,AD Russell,54,2,v West Indies,Dhaka,23 Mar 2014,T20I # 382,Virat Kohli,right_arm_pace,T20
334,caught,AD Hales,ST Finn,66,2,v England,Birmingham,7 Sep 2014,T20I # 405,Virat Kohli,right_arm_pace,T20
335,caught,JP Duminy,KJ Abbott,43,1,v South Africa,Dharamsala,2 Oct 2015,T20I # 456,Virat Kohli,right_arm_pace,T20
336,caught,Mahmudullah,Mashrafe Mortaza,7,1,v Bangladesh,Dhaka,24 Feb 2016,T20I # 509,Virat Kohli,right_arm_pace,T20
337,lbw,,Mohammad Sami,49,2,v Pakistan,Dhaka,27 Feb 2016,T20I # 512,Virat Kohli,right_arm_pace,T20
338,caught,ADS Fletcher,DJ Bravo,16,2,v West Indies,Lauderhill,27 Aug 2016,T20I # 562,Virat Kohli,right_arm_pace,T20
339,caught,LA Dawson,CJ Jordan,21,1,v England,Nagpur,29 Jan 2017,T20I # 593,Virat Kohli,right_arm_pace,T20
340,caught,SP Narine,KOK Williams,39,1,v West Indies,Kingston,9 Jul 2017,T20I # 617,Virat Kohli,right_arm_pace,T20
341,caught,H Klaasen,CJ Dala,1,1,v South Africa,Centurion,21 Feb 2018,T20I # 654,Virat Kohli,right_arm_pace,T20
342,caught,SR Thompson,PKD Chase,0,1,v Ireland,Dublin (Malahide),27 Jun 2018,T20I # 678,Virat Kohli,right_arm_pace,T20
343,caught,GH Dockrell,PKD Chase,9,1,v Ireland,Dublin (Malahide),29 Jun 2018,T20I # 680,Virat Kohli,right_arm_pace,T20
344,caught,CJ Jordan,CJ Jordan,43,2,v England,Bristol,8 Jul 2018,T20I # 690,Virat Kohli,right_arm_pace,T20
345,caught,E Lewis,O Thomas,59,2,v West Indies,Providence,6 Aug 2019,T20I # 846,Virat Kohli,right_arm_pace,T20
346,caught,AL Phehlukwayo,K Rabada,9,1,v South Africa,Bengaluru,22 Sep 2019,T20I # 893,Virat Kohli,right_arm_pace,T20
347,caught,LMP Simmons,KOK Williams,19,1,v West Indies,Thiruvananthapuram,8 Dec 2019,T20I # 1022,Virat Kohli,right_arm_pace,T20
348,caught,MJ Guptill,BM Tickner,45,2,v New Zealand,Auckland,24 Jan 2020,T20I # 1031,Virat Kohli,right_arm_pace,T20
349,caught,TL Seifert,TG Southee,11,2,v New Zealand,Auckland,26 Jan 2020,T20I # 1034,Virat Kohli,right_arm_pace,T20
350,caught,TG Southee,HK Bennett,38,1,v New Zealand,Hamilton,29 Jan 2020,T20I # 1035,Virat Kohli,right_arm_pace,T20
351,caught,MJ Santner,HK Bennett,11,1,v New Zealand,Wellington,31 Jan 2020,T20I # 1036,Virat Kohli,right_arm_pace,T20
352,bowled,,J Botha,28,1,v South Africa,Durban,9 Jan 2011,T20I # 196,Virat Kohli,right_arm_spin,T20
353,caught,JM Bairstow,GP Swann,40,1,v England,Colombo (RPS),23 Sep 2012,T20I # 272,Virat Kohli,right_arm_spin,T20
354,caught,CL White,JM Muirhead,23,1,v Australia,Dhaka,30 Mar 2014,T20I # 393,Virat Kohli,right_arm_spin,T20
355,bowled,,CJ Boyce,50,2,v Australia,Sydney,31 Jan 2016,T20I # 489,Virat Kohli,right_arm_spin,T20
356,caught,L Ronchi,IS Sodhi,23,2,v New Zealand,Nagpur,15 Mar 2016,T20I # 535,Virat Kohli,right_arm_spin,T20
357,bowled,,Shuvagata Hom,24,1,v Bangladesh,Bengaluru,23 Mar 2016,T20I # 547,Virat Kohli,right_arm_spin,T20
358,caught,EJG Morgan,MM Ali,29,1,v England,Kanpur,26 Jan 2017,T20I # 592,Virat Kohli,right_arm_spin,T20
359,caught,TA Boult,IS Sodhi,13,1,v New Zealand,Thiruvananthapuram,7 Nov 2017,T20I # 632,Virat Kohli,right_arm_spin,T20
360,caught,CA Lynn,A Zampa,4,2,v Australia,Brisbane,21 Nov 2018,T20I # 712,Virat Kohli,right_arm_spin,T20
361,caught,NM Coulter-Nile,A Zampa,24,1,v Australia,Visakhapatnam,24 Feb 2019,T20I # 748,Virat Kohli,right_arm_spin,T20
362,caught,TG Southee (sub),JEC Franklin,70,2,v New Zealand,Chennai,11 Sep 2012,T20I # 261,Virat Kohli,left_arm_pace,T20
363,caught,Kamran Akmal,Mohammad Irfan,9,1,v Pakistan,Bengaluru,25 Dec 2012,T20I # 296,Virat Kohli,left_arm_pace,T20
364,caught,MD Shanaka,I Udana,82,2,v Sri Lanka,Colombo (RPS),6 Sep 2017,T20I # 618,Virat Kohli,left_arm_pace,T20
365,caught,JP Behrendorff,JP Behrendorff,0,1,v Australia,Guwahati,10 Oct 2017,T20I # 624,Virat Kohli,left_arm_pace,T20
366,caught,JE Root,DJ Willey,47,1,v England,Cardiff,6 Jul 2018,T20I # 688,Virat Kohli,left_arm_pace,T20
367,caught,KA Pollard,SS Cottrell,19,2,v West Indies,Lauderhill,3 Aug 2019,T20I # 842,Virat Kohli,left_arm_pace,T20
368,bowled,,SS Cottrell,28,1,v West Indies,Lauderhill,4 Aug 2019,T20I # 843,Virat Kohli,left_arm_pace,T20
369,caught,DA Warner,GB Hogg,22,2,v Australia,Sydney,1 Feb 2012,T20I # 217,Virat Kohli,left_arm_spin,T20
370,caught,GD Phillips,MJ Santner,65,2,v New Zealand,Rajkot,4 Nov 2017,T20I # 631,Virat Kohli,left_arm_spin,T20
371,lbw,,T Shamsi,26,1,v South Africa,Johannesburg,18 Feb 2018,T20I # 652,Virat Kohli,left_arm_spin,T20
